case,title,where,item id,label,file to save as (in public),what the photo should show
SCI-3.7A-CL,"Push, pull, or reach",page 1,kick,Kick a soccer ball,/lab/sci-3.7a-cl-kick.jpg,"Photo of a child's foot kicking a soccer ball on grass. No faces, no text."
SCI-3.7A-CL,"Push, pull, or reach",page 1,door,Push a door open,/lab/sci-3.7a-cl-door.jpg,Photo of a hand pushing open a wooden door. No text.
SCI-3.7A-CL,"Push, pull, or reach",page 1,wagon,Pull a wagon by its handle,/lab/sci-3.7a-cl-wagon.jpg,"Photo of a hand pulling a red wagon by its handle on a sidewalk. No faces, no text."
SCI-3.7A-CL,"Push, pull, or reach",page 1,fridge,A magnet pulls itself onto the fridge door.,/lab/sci-3.7a-cl-fridge.jpg,Photo of a round magnet holding a child's drawing on a fridge door. No words on the drawing or magnet.
SCI-3.7A-CL,"Push, pull, or reach",page 1,apple,An apple falls from a tree,/lab/sci-3.7a-cl-apple.jpg,"Photo of an apple falling from a branch, caught in midair. No text."
SCI-3.7A-CL,"Push, pull, or reach",page 1,repel,Two magnets push each other apart,/lab/sci-3.7a-cl-repel.jpg,"Photo of two bar magnets on a table, same ends facing, with a small gap between them. No letters on the magnets, no text."
SCI-3.7A-CL,"Push, pull, or reach",page 2,rain,A raindrop falls from a cloud,/lab/sci-3.7a-cl-rain.jpg,Photo of raindrops falling and splashing into a puddle. No text.
SCI-3.7A-CL,"Push, pull, or reach",page 2,nail,A magnet pulls a nail through paper,/lab/sci-3.7a-cl-nail.jpg,"Photo of a nail stuck to one side of a sheet of paper, with a magnet held on the other side. No text."
SCI-3.7A-CL,"Push, pull, or reach",page 2,leash,A dog pulls on its leash,/lab/sci-3.7a-cl-leash.jpg,"Photo of a dog pulling ahead on a tight leash, seen from behind. No faces, no text."
SCI-3.7A-CL,"Push, pull, or reach",page 2,sail,Wind pushes a sailboat,/lab/sci-3.7a-cl-sail.jpg,"Photo of a small sailboat on a lake with a full, puffed-out sail. No text."
SCI-3.7A-CL,"Push, pull, or reach",page 2,sunshine,Sunshine warms a sidewalk,/lab/sci-3.7a-cl-sunshine.jpg,"Photo of a sunny sidewalk with bright light on it. No people, no text."
SCI-3.7A-CL,"Push, pull, or reach",page 2,nightlight,A night-light glows in a dark room,/lab/sci-3.7a-cl-nightlight.jpg,Photo of a small night-light glowing in a wall outlet in a dark room. No text.
SCI-3.7A-CL,"Push, pull, or reach",venn,leafV,A leaf falls to the ground,/lab/sci-3.7a-cl-leafv.jpg,Photo of one leaf falling in midair below a tree. No text.
SCI-3.7A-CL,"Push, pull, or reach",venn,clipV,A magnet pulls a paper clip closer,/lab/sci-3.7a-cl-clipv.jpg,Photo of a magnet with a paper clip sliding toward it across a table. No text.
SCI-3.7A-CL,"Push, pull, or reach",venn,ropeV,Two kids tug on a rope,/lab/sci-3.7a-cl-ropev.jpg,"Photo of two children pulling on opposite ends of a rope on grass. Faces turned away or cropped, no text."
SCI-3.7A-CL,"Push, pull, or reach",venn,repelV,Two ring magnets push apart on a stick,/lab/sci-3.7a-cl-repelv.jpg,"Photo of two ring magnets on a wooden stick, the top one floating above the bottom one. No text."
SCI-3.7A-CL,"Push, pull, or reach",venn,swingV,Push a friend on a swing,/lab/sci-3.7a-cl-swingv.jpg,"Photo of hands pushing a child on a playground swing, seen from behind. No text."
SCI-3.7A-CL,"Push, pull, or reach",venn,lampV,A lamp lights up a desk,/lab/sci-3.7a-cl-lampv.jpg,Photo of a desk lamp shining on an empty desk. No text.
SCI-3.8A-CL,Kinds of energy,page 1,flashlight,Flashlight,/lab/sci-3.8a-cl-flashlight.jpg,Photo of a lit flashlight shining a beam on a wall. No text or brand.
SCI-3.8A-CL,Kinds of energy,page 1,glowstick,Glow stick,/lab/sci-3.8a-cl-glowstick.jpg,Photo of a glowing green glow stick in a dark room. No text.
SCI-3.8A-CL,Kinds of energy,page 1,firefly,Firefly,/lab/sci-3.8a-cl-firefly.jpg,Photo of a firefly glowing at night in grass. No text.
SCI-3.8A-CL,Kinds of energy,page 1,drum,Drum,/lab/sci-3.8a-cl-drum.jpg,Photo of a small drum with two drumsticks resting on top. No text or brand.
SCI-3.8A-CL,Kinds of energy,page 1,whistle,Whistle,/lab/sci-3.8a-cl-whistle.jpg,Photo of a silver coach's whistle on a string. No text.
SCI-3.8A-CL,Kinds of energy,page 1,chimes,Wind chimes,/lab/sci-3.8a-cl-chimes.jpg,Photo of metal wind chimes hanging from a porch. No text.
SCI-3.8A-CL,Kinds of energy,page 2,clap,Hands clapping,/lab/sci-3.8a-cl-clap.jpg,"Photo of two hands clapping, close up. No faces, no text."
SCI-3.8A-CL,Kinds of energy,page 2,guitar,Guitar string plucked,/lab/sci-3.8a-cl-guitar.jpg,"Photo of a finger plucking a guitar string, close up. No text or brand."
SCI-3.8A-CL,Kinds of energy,page 2,nightlt,Night-light,/lab/sci-3.8a-cl-nightlt.jpg,Photo of a small night-light glowing in a wall outlet in a dark room. No text.
SCI-3.8A-CL,Kinds of energy,page 2,stars,Glow-in-the-dark star stickers,/lab/sci-3.8a-cl-stars.jpg,Photo of glow-in-the-dark star stickers glowing on a dark ceiling. No text.
SCI-3.8A-CL,Kinds of energy,page 2,heatpad,Heating pad,/lab/sci-3.8a-cl-heatpad.jpg,"Photo of a folded heating pad on a couch, with no lights showing. No text or brand."
SCI-3.8A-CL,Kinds of energy,page 2,kite,Kite in the wind,/lab/sci-3.8a-cl-kite.jpg,"Photo of a colorful kite flying high in a blue sky. No people, no text."
SCI-3.8A-CL,Kinds of energy,venn,fireworksV,Fireworks,/lab/sci-3.8a-cl-fireworksv.jpg,Photo of bright fireworks bursting in a night sky. No text.
SCI-3.8A-CL,Kinds of energy,venn,tvV,A TV playing a cartoon,/lab/sci-3.8a-cl-tvv.jpg,Photo of a TV screen showing bright colors in a living room. No readable words or logos on screen.
SCI-3.8A-CL,Kinds of energy,venn,candleV,Candle flame,/lab/sci-3.8a-cl-candlev.jpg,Photo of one lit candle on a table. No text.
SCI-3.8A-CL,Kinds of energy,venn,birdV,A bird singing,/lab/sci-3.8a-cl-birdv.jpg,Photo of a small songbird on a branch with its beak open. No text.
SCI-3.8A-CL,Kinds of energy,venn,hornV,A bicycle bell rings.,/lab/sci-3.8a-cl-hornv.jpg,Photo of a silver bell on a bicycle handlebar. No text or brand.
SCI-3.8A-CL,Kinds of energy,venn,bottleV,Hot water bottle,/lab/sci-3.8a-cl-bottlev.jpg,Photo of a rubber hot water bottle on a bed. No text or brand.
SCI-3.10C-CL,Fast or slow,page 1,quake,Earthquake,/lab/sci-3.10c-cl-quake.jpg,"Photo of a paved road with a crack from an earthquake. No people, no text."
SCI-3.10C-CL,Fast or slow,page 1,volcano,Volcano erupts,/lab/sci-3.10c-cl-volcano.jpg,Photo of a volcano with red lava flowing down its side. No text.
SCI-3.10C-CL,Fast or slow,page 1,landslide,Small landslide,/lab/sci-3.10c-cl-landslide.jpg,"Photo of a small pile of dirt and rocks that slid down a hillside onto a trail. No people, no text."
SCI-3.10C-CL,Fast or slow,page 1,canyon,River makes a canyon,/lab/sci-3.10c-cl-canyon.jpg,Photo of a deep canyon with a river at the bottom. No text.
SCI-3.10C-CL,Fast or slow,page 1,windrock,Wind wears down a rock,/lab/sci-3.10c-cl-windrock.jpg,Photo of a desert rock shaped into an arch or odd shape by wind. No text.
SCI-3.10C-CL,Fast or slow,page 1,cliff,Waves wear away a cliff,/lab/sci-3.10c-cl-cliff.jpg,Photo of ocean waves hitting the bottom of a rocky cliff. No text.
SCI-3.10C-CL,Fast or slow,page 2,flood,Flood,/lab/sci-3.10c-cl-flood.jpg,"Photo of a muddy river spilling over its banks onto a field. No people, no text."
SCI-3.10C-CL,Fast or slow,page 2,sinkhole,Sinkhole opens,/lab/sci-3.10c-cl-sinkhole.jpg,"Photo of a round sinkhole in a grassy yard, fenced off. No people, no text."
SCI-3.10C-CL,Fast or slow,page 2,rockfall,Rock falls off a cliff,/lab/sci-3.10c-cl-rockfall.jpg,Photo of one large boulder that has fallen at the bottom of a cliff. No text.
SCI-3.10C-CL,Fast or slow,page 2,roots,Roots crack a rock,/lab/sci-3.10c-cl-roots.jpg,Photo of tree roots growing through a crack in a big rock. No text.
SCI-3.10C-CL,Fast or slow,page 2,dune,Sand dune moves,/lab/sci-3.10c-cl-dune.jpg,"Photo of tall sand dunes with wind ripples. No people, no text."
SCI-3.10C-CL,Fast or slow,page 2,clouds,Dark clouds roll in,/lab/sci-3.10c-cl-clouds.jpg,Photo of dark storm clouds over a flat field. No text.
SCI-3.10C-CL,Fast or slow,venn,floodV,Flood washes out a road,/lab/sci-3.10c-cl-floodv.jpg,"Photo of a country road with a section washed away by floodwater. No people, no text."
SCI-3.10C-CL,Fast or slow,venn,quakeV,Earthquake,/lab/sci-3.10c-cl-quakev.jpg,"Photo of a cracked, uneven sidewalk after an earthquake. No people, no text."
SCI-3.10C-CL,Fast or slow,venn,volcanoV,Volcano erupts,/lab/sci-3.10c-cl-volcanov.jpg,Photo of a volcano with smoke and lava. No text.
SCI-3.10C-CL,Fast or slow,venn,canyonV,River carves a canyon,/lab/sci-3.10c-cl-canyonv.jpg,Photo of a winding river deep inside a canyon. No text.
SCI-3.10C-CL,Fast or slow,venn,beachV,Waves slowly smooth rocks into pebbles.,/lab/sci-3.10c-cl-beachv.jpg,"Photo of smooth, rounded pebbles on a shore with a wave washing over them. No people, no text."
SCI-3.10C-CL,Fast or slow,venn,windV,Wind shapes a rock,/lab/sci-3.10c-cl-windv.jpg,Photo of a tall rock shaped by wind in a desert. No text.
SCI-3.11C-CL,Keep it or remake it,page 1,jarpencil,Keep pencils in an old glass jar,/lab/sci-3.11c-cl-jarpencil.jpg,"Photo of a clean glass jar holding pencils on a desk. No label, no text."
SCI-3.11C-CL,Keep it or remake it,page 1,coat,Wear your cousin's old coat,/lab/sci-3.11c-cl-coat.jpg,Photo of a kid's winter coat hanging on a hook. No text or brand.
SCI-3.11C-CL,Keep it or remake it,page 1,refill,Refill a water bottle,/lab/sci-3.11c-cl-refill.jpg,"Photo of a plastic water bottle being filled at a sink. No label, no text."
SCI-3.11C-CL,Keep it or remake it,page 1,glass,Old jars are melted into new jars,/lab/sci-3.11c-cl-glass.jpg,"Photo of a pile of crushed glass next to new, empty glass jars. No labels, no text."
SCI-3.11C-CL,Keep it or remake it,page 1,fleece,Plastic bottles become a fleece jacket,/lab/sci-3.11c-cl-fleece.jpg,"Photo of a fleece jacket folded next to a pile of empty plastic bottles. No labels, no text."
SCI-3.11C-CL,Keep it or remake it,page 1,tires,Old tires are ground into playground mats,/lab/sci-3.11c-cl-tires.jpg,"Photo of black rubber mats under a playground slide. No people, no text."
SCI-3.11C-CL,Keep it or remake it,page 2,rag,Cut an old T-shirt into cleaning rags,/lab/sci-3.11c-cl-rag.jpg,"Photo of an old T-shirt cut into square rags, with scissors beside it. No text or logos."
SCI-3.11C-CL,Keep it or remake it,page 2,shoes,Give outgrown shoes to a friend,/lab/sci-3.11c-cl-shoes.jpg,Photo of a pair of used kids' sneakers in an open box. No text or brand.
SCI-3.11C-CL,Keep it or remake it,page 2,cardboard,Old boxes are mashed into new boxes,/lab/sci-3.11c-cl-cardboard.jpg,Photo of flattened cardboard in a big bale next to a new cardboard box. No text or logos.
SCI-3.11C-CL,Keep it or remake it,page 2,bench,Milk jugs are melted into a park bench,/lab/sci-3.11c-cl-bench.jpg,"Photo of a park bench made of recycled plastic boards. No people, no text."
SCI-3.11C-CL,Keep it or remake it,page 2,water,Turn off the water while you brush,/lab/sci-3.11c-cl-water.jpg,"Photo of a bathroom sink with the faucet off and a toothbrush beside it. No people, no text."
SCI-3.11C-CL,Keep it or remake it,page 2,crackers,"Buy one big box, not many small bags",/lab/sci-3.11c-cl-crackers.jpg,"Photo of one large box of crackers next to a pile of small snack bags. No labels, no text."
