Topic,Standard,Activities,Engines,Coverage,Notes
"Antonyms, Synonyms, Idioms, Homophones","3.3D, 3.2B",0,-,Not covered,No center activity touches this topic yet.
"Adjective, Adverbs, and Prepositions",3.11D,0,-,Not covered,No center activity touches this topic yet.
Fluency and Comprehension,3.4A,0,-,Not covered,No center activity touches this topic yet. Check 3.4A against the TEKS - not found in the grade 3 ELAR document.
Verb Tense,3.11D,0,-,Not covered,No center activity touches this topic yet.
Infer Theme,3.8A,0,-,Not covered,No center activity touches this topic yet.
Author's Purpose,"3.10A, 3.10B, 3.10C, 3.10F",0,-,Not covered,No center activity touches this topic yet.
Evaluate and Synthesize,"3.6G, 3.6H",0,-,Not covered,No center activity touches this topic yet.
Response Skills,"3.7C, 3.7D, 3.7G, 3.7F",2,"Group Chat, Signal Check",Partly covered,"No activity for 3.7D, 3.7G, 3.7F."
Determine Meaning,"3.3A, 3.3B",0,-,Not covered,No center activity touches this topic yet.
Simple and Compound Sentences,3.11D,0,-,Not covered,No center activity touches this topic yet.
Generate Questions and Make Predictions,"3.6B, 3.6C",0,-,Not covered,No center activity touches this topic yet.
Literary Devices,"3.10D, 3.10G, 3.10E",0,-,Not covered,No center activity touches this topic yet.
"Compound Words, Contractions, and Abbreviations","3.2A, 3.2B",0,-,Not covered,No center activity touches this topic yet.
Syllable Types in Multisyllabic Words,"3.2A, 3.2B",0,-,Not covered,No center activity touches this topic yet.
Multisyllabic Words,"3.2A, 3.2B",0,-,Not covered,No center activity touches this topic yet.
Affixes and Spelling Patterns,"3.2A, 3.2B, 3.3C",1,Group Chat,Partly covered,"No activity for 3.2A, 3.2B."
(no topic yet) 3.1A,3.1A,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.1B,3.1B,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.1C,3.1C,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.1D,3.1D,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.1E,3.1E,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.2C,3.2C,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.2D,3.2D,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.6A,3.6A,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.6D,3.6D,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.6E,3.6E,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.6F,3.6F,2,"Group Chat, Signal Check",Covered,This standard is not in any of your topics yet.
(no topic yet) 3.6I,3.6I,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.7A,3.7A,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.7B,3.7B,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.7E,3.7E,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.8B,3.8B,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.8C,3.8C,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.8D,3.8D,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.9A,3.9A,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.9B,3.9B,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.9C,3.9C,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.9D,3.9D,2,"Group Chat, Signal Check",Covered,This standard is not in any of your topics yet.
(no topic yet) 3.9E,3.9E,1,Signal Check,Covered,This standard is not in any of your topics yet.
(no topic yet) 3.9F,3.9F,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.11A,3.11A,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.11B,3.11B,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.11C,3.11C,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.11E,3.11E,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.12A,3.12A,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.12B,3.12B,1,Assembly Deck,Covered,This standard is not in any of your topics yet.
(no topic yet) 3.12C,3.12C,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.12D,3.12D,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.13A,3.13A,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.13B,3.13B,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.13C,3.13C,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.13D,3.13D,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.13E,3.13E,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.13F,3.13F,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.13G,3.13G,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.13H,3.13H,0,-,Not covered,This standard is not in any of your topics yet.
