Topic,Standard,Activities,Engines,Coverage,Notes
Compare and Order Whole Numbers,3.2D,1,Signal Check,Covered,
Solve One & Two Step Addition & Subtraction,3.4A,0,-,Not covered,No center activity touches this topic yet.
Counting Money,3.4C,0,-,Not covered,No center activity touches this topic yet.
Multiplication Strategies,3.4G,0,-,Not covered,No center activity touches this topic yet.
Multiplication & Division Problems,3.4K,0,-,Not covered,No center activity touches this topic yet.
Multiplication & Division Fluency,"3.4D, 3.4E, 3.4F",1,Signal Check,Partly covered,"No activity for 3.4E, 3.4F."
Place Value,"3.2A, 3.2B",0,-,Not covered,No center activity touches this topic yet.
Model 1 and 2 Step Addition & Subtraction,3.5A,0,-,Not covered,No center activity touches this topic yet.
Represent and Solve Multiplication and Division,3.5B,1,Group Chat,Covered,
Multiplicative Comparison,3.5C,1,Group Chat,Covered,
Solve for the Unknown,3.5D,0,-,Not covered,No center activity touches this topic yet.
Number Patterns,3.5E,0,-,Not covered,No center activity touches this topic yet.
Equivalent Fractions,"3.3F, 3.3G",0,-,Not covered,No center activity touches this topic yet.
Represent Fractions,"3.3A, 3.3B, 3.3C",0,-,Not covered,No center activity touches this topic yet.
Compose and Decompose Fractions,"3.3D, 3.3E, 3.6E",0,-,Not covered,No center activity touches this topic yet.
Comparing Fractions,3.3H,1,Group Chat,Covered,
Three Dimensional Figures,3.6A,0,-,Not covered,No center activity touches this topic yet.
Two Dimensional Figures,"3.6A, 3.6B",0,-,Not covered,No center activity touches this topic yet.
Area,"3.6C, 3.6D",1,Group Chat,Partly covered,No activity for 3.6D.
"Halves, Fourths, and Eighths",3.7A,0,-,Not covered,No center activity touches this topic yet.
Perimeter,3.7B,0,-,Not covered,No center activity touches this topic yet.
Time,3.7C,0,-,Not covered,No center activity touches this topic yet.
Weight & Volume,"3.7D, 3.7E",0,-,Not covered,No center activity touches this topic yet.
(no topic yet) 3.1A,3.1A,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.1B,3.1B,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.1C,3.1C,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.1D,3.1D,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.1E,3.1E,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.1F,3.1F,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.1G,3.1G,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.2C,3.2C,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.4B,3.4B,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.4H,3.4H,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.4I,3.4I,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.4J,3.4J,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.8A,3.8A,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.8B,3.8B,1,Signal Check,Covered,This standard is not in any of your topics yet.
(no topic yet) 3.9A,3.9A,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.9B,3.9B,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.9C,3.9C,1,Signal Check,Covered,This standard is not in any of your topics yet.
(no topic yet) 3.9D,3.9D,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.9E,3.9E,0,-,Not covered,This standard is not in any of your topics yet.
(no topic yet) 3.9F,3.9F,0,-,Not covered,This standard is not in any of your topics yet.
