Topic,Standard,Activities,Engines,Coverage,Notes
Physical Properties of Matter,3.6A,5,"Assembly Deck, Group Chat, Signal Check, Signal Ops, Simulation Lab",Covered,
"Solids, Liquids, and Gases",3.6B,3,"Group Chat, Signal Check, Signal Ops",Covered,
Changes in State of Matter,3.6C,4,"Group Chat, Signal Check, Signal Ops, Simulation Lab",Covered,
Combining Materials,3.6D,2,"Group Chat, Signal Ops",Covered,
Energy,"3.8A, 3.8B",7,"Group Chat, Signal Check, Signal Ops, Simulation Lab",Covered,
Force,"3.7A, 3.7B",8,"Group Chat, Mission Map, Signal Check, Signal Ops, Simulation Lab",Covered,
The Solar System,"3.9A, 3.9B",5,"Group Chat, Signal Check, Signal Ops",Covered,
Weather,3.10A,4,"Group Chat, Mission Map, Signal Check, Signal Ops",Covered,
Soil,3.10B,3,"Group Chat, Signal Check, Signal Ops",Covered,
"Volcanic Eruptions, Earthquakes, and Landslides",3.10C,3,"Group Chat, Signal Check, Signal Ops",Covered,
Natural Resources,"3.11A, 3.11B, 3.11C",7,"Group Chat, Signal Check, Signal Ops",Covered,
Environmental Impacts on Animals,3.12A,3,"Group Chat, Signal Check, Signal Ops",Covered,
Food Chain,3.12B,4,"Group Chat, Mission Map, Signal Check, Signal Ops",Covered,
Floods and Droughts,3.12C,4,"Group Chat, Mission Map, Signal Check, Signal Ops",Covered,
Fossils,3.12D,3,"Group Chat, Signal Check, Signal Ops",Covered,
Structures and Functions of Animals,3.13A,3,"Group Chat, Signal Check, Signal Ops",Covered,
Life Cycles,3.13B,3,"Group Chat, Signal Check, Signal Ops",Covered,
